Date,Start Time,End Time,Minutes,All Suspect Vars Missing,Wind Speed Before Block (m/s),Wind Speed After Block (m/s)
2025-06-08,11:26,11:33,8,FALSE,0.02300000004470348,0.34599998593330383
2025-06-08,12:52,12:52,1,FALSE,0.15199999511241913,0.09399999678134918
2025-06-09,11:47,11:48,2,FALSE,0.10000000149011612,0.12399999797344208
2025-06-09,11:51,11:52,2,FALSE,0.1770000010728836,0.02300000004470348
2025-06-09,14:14,14:14,1,FALSE,0.1850000023841858,0.00999999977648258
2025-06-10,20:29,20:29,1,FALSE,0.5099999904632568,0.05299999937415123
2025-06-11,12:27,12:27,1,FALSE,0.15299999713897705,0.02400000020861625
2025-06-15,09:21,09:21,1,FALSE,0.1509999930858612,0.17599999904632568
2025-06-16,06:50,06:56,7,FALSE,0.04199999943375587,0.23499999940395355
2025-06-16,07:56,07:58,3,FALSE,0.15700000524520874,0.5070000290870667
2025-06-19,07:53,07:53,1,FALSE,0.15199999511241913,0.01799999922513961
2025-06-25,09:14,09:14,1,FALSE,0.05900000035762787,0.09799999743700027
2025-06-27,11:16,11:16,1,FALSE,0.13600000739097595,0.24699999392032623
2025-06-30,05:41,05:41,1,FALSE,0.5040000081062317,0.33899998664855957
2025-06-30,17:57,17:57,1,FALSE,0.26499998569488525,0.16500000655651093
2025-06-30,19:22,19:22,1,FALSE,1.1950000524520874,0.902999997138977
